SourceFile,Directory,FileName,DateTimeOriginal,Subject,TagsList,Keywords,cameraID,DateTime,roundDate,dateOnly,blastID,uniqueID,site_ID,plot_ID,reserve
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/00000000_ECO_06.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,00000000_ECO_06.JPG,2020:01:01 22:00:04,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_06,2024-01-01T22:00:04Z,2024-01-01T22:00:00Z,2024-01-01,ECO_06_6,obs18,JE_S01,JE_S01_P03,Jembisa
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/01190224_ECO_06.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,01190224_ECO_06.JPG,2020:01:19 02:25:59,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_06,2024-01-19T02:25:59Z,2024-01-19T02:26:00Z,2024-01-19,ECO_06_46,obs227,JE_S01,JE_S01_P03,Jembisa
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/02040570_ECO_06.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,02040570_ECO_06.JPG,2020:02:04 21:13:03,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_06,2024-02-04T21:13:03Z,2024-02-04T21:13:00Z,2024-02-04,ECO_06_92,obs379,JE_S01,JE_S01_P03,Jembisa
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/02200059_ECO_01.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,02200059_ECO_01.JPG,2024:02:20 10:50:28,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_01,2024-02-20T10:50:28Z,2024-02-20T10:50:00Z,2024-02-20,ECO_01_148,obs603,LA_S01,LA_S01_P03,Lapalala
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/02230004_ECO_03.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,02230004_ECO_03.JPG,2024:02:23 10:52:20,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_03,2024-02-23T10:52:20Z,2024-02-23T10:52:00Z,2024-02-23,ECO_03_207,obs740,LA_S04,LA_S04_P03,Lapalala
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/02230050_ECO_02.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,02230050_ECO_02.JPG,2024:02:23 11:29:58,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_02,2024-02-23T11:29:58Z,2024-02-23T11:30:00Z,2024-02-23,ECO_02_210,obs789,LA_S03,LA_S03_P03,Lapalala
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/02260012_ECO_12.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,02260012_ECO_12.JPG,2024:02:26 08:49:14,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_12,2024-02-26T08:49:14Z,2024-02-26T08:49:00Z,2024-02-26,ECO_12_254,obs951,WI_S02,WI_S02_P03,Willowisp
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/02260108_ECO_15.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,02260108_ECO_15.JPG,2024:02:26 16:32:20,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_15,2024-02-26T16:32:20Z,2024-02-26T16:32:00Z,2024-02-26,ECO_15_263,obs980,WI_S05,WI_S05_P03,Willowisp
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/02290041_ECO_14.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,02290041_ECO_14.JPG,2024:02:29 16:01:59,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_14,2024-02-29T16:01:59Z,2024-02-29T16:02:00Z,2024-02-29,ECO_14_332,obs1190,WI_S04,WI_S04_P03,Willowisp
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03030019_ECO_23.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03030019_ECO_23.JPG,2024:03:03 13:59:51,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_23,2024-03-03T13:59:51Z,2024-03-03T14:00:00Z,2024-03-03,ECO_23_505,obs1761,SU_S03,SU_S03_P03,Summerplace
/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed/03030026_ECO_23.JPG,/Volumes/TOSHIBA EXT/WaterbergCameraTraps2024/R1Processed,03030026_ECO_23.JPG,2024:03:03 17:01:15,ParticularlyBeautiful,Misc/ParticularlyBeautiful,ParticularlyBeautiful,ECO_23,2024-03-03T17:01:15Z,2024-03-03T17:01:00Z,2024-03-03,ECO_23_522,obs1782,SU_S03,SU_S03_P03,Summerplace
